Supplemental Table 1: Public RNA-sequencing data collection and respective quality control status.,,,
,samples,study,QC_Status
1,SAMEA3752111,He,FAIL
2,SAMEA3752112,He,FAIL
3,SAMEA3752113,He,FAIL
4,SAMEA3474041,He,FAIL
5,SAMEA3474042,He,FAIL
6,SAMEA3474043,He,FAIL
7,SAMEA3474044,He,FAIL
8,SAMEA3474045,He,FAIL
9,SAMEA3474046,He,FAIL
10,SAMEA3474047,He,FAIL
11,SAMEA3474048,He,FAIL
12,SAMEA3474049,He,FAIL
13,SAMEA3474050,He,FAIL
14,SAMEA3474051,He,FAIL
15,SAMEA3474052,He,FAIL
16,SAMEA3474053,He,FAIL
17,SAMEA3474054,He,FAIL
18,SAMEA3474055,He,FAIL
19,SAMEA3474056,He,FAIL
20,SAMEA3474057,He,FAIL
21,SAMEA3474058,He,FAIL
22,SAMEA3474059,He,FAIL
23,SAMEA3474060,He,FAIL
24,SAMEA3474061,He,FAIL
25,SAMEA3474062,He,FAIL
26,SAMEA3474063,He,FAIL
27,SAMEA3474064,He,FAIL
28,SAMEA3474065,He,FAIL
29,SAMEA3474066,He,FAIL
30,SAMEA3474067,He,FAIL
31,SAMEA3474068,He,FAIL
32,SAMEA3474069,He,FAIL
33,SAMEA3474070,He,FAIL
34,SAMEA3474071,He,FAIL
35,SAMEA3474072,He,FAIL
36,SAMEA3474073,He,FAIL
37,SAMEA3474074,He,FAIL
38,SAMEA3474075,He,FAIL
39,SAMEA3474076,He,FAIL
40,SAMEA3474077,He,FAIL
41,SAMEA3474078,He,FAIL
42,SAMEA3474079,He,FAIL
43,SAMEA3474080,He,FAIL
44,SAMEA3474081,He,FAIL
45,SAMEA3474082,He,FAIL
46,SAMEA3474083,He,FAIL
47,SAMEA3474084,He,FAIL
48,SAMEA3474085,He,FAIL
49,SAMEA3474086,He,FAIL
50,SAMN05736209,Esteve-Codina,FAIL
51,SAMN05736211,Esteve-Codina,FAIL
52,SAMN05736213,Esteve-Codina,FAIL
53,SAMN05736215,Esteve-Codina,FAIL
54,SAMN07269608,Wang,OMITTED1
55,SAMN07269615,Wang,PASS
56,SAMN07269614,Wang,OMITTED1
57,SAMN07269613,Wang,PASS
58,SAMN07269612,Wang,FAIL
59,SAMN07269611,Wang,FAIL
60,SAMN07269610,Wang,FAIL
61,SAMN07269609,Wang,FAIL
62,SAMN01886751,Necsulea,FAIL
63,SAMN01886752,Necsulea,PASS
64,SAMN01886753,Necsulea,PASS
65,SAMN01886754,Necsulea,PASS
66,SAMN01886755,Necsulea,OMITTED2
67,SAMN02265389,Necsulea,PASS
68,SAMN02265388,Necsulea,PASS
69,SAMN02265402,Necsulea,FAIL
70,SAMN02265384,Necsulea,PASS
71,ENCSR023ZXN,Encode,PASS
72,ENCSR471RUK,Encode,PASS
73,ENCSR495HDM,Encode,PASS
74,ENCSR001UXR,Encode,OMITTED3
75,ENCSR841ADZ,Encode,PASS
76,ENCSR671WMH,Encode,PASS
77,ENCSR113HQM,Encode,OMITTED1
78,ENCSR276MMH,Encode,PASS
79,ENCSR042GYH,Encode,PASS
80,ENCSR900SGE,Encode,PASS
81,ENCSR954PZB,Encode,PASS
82,ENCSR098BUF,Encode,OMITTED1
83,ENCSR000AHH,Encode,PASS
84,ENCSR000AEU_f,Encode,PASS
85,ENCSR000AEU_m,Encode,PASS
86,ENCSR046XHI,Encode,PASS
87,ENCSR106SZN,Encode,PASS
88,ENCSR438YPF,Encode,PASS
89,ENCSR094VRQ,Encode,OMITTED1
90,ENCSR853BNH,Encode,PASS
91,ENCSR991HIR,Encode,PASS
92,ENCSR967JPI,Encode,PASS
93,ENCSR344MQK,Encode,PASS
94,ENCSR391VGU,Encode,PASS
95,ENCBS146EHL,Encode,OMITTED1
96,ENCSR274JRR,Encode,PASS
97,ENCSR425RGZ,Encode,PASS
98,ENCSR719PXC,Encode,OMITTED2
99,ENCSR436QDU,Encode,PASS
100,ENCSR071ZMO,Encode,PASS
101,ENCSR837ZLY,Encode,PASS
102,ENCSR551NII,Encode,PASS
103,ENCSR226KML,Encode,PASS
104,ENCSR313COD,Encode,PASS
105,ENCSR620LQN,Encode,OMITTED1
106,ENCSR150QJY,Encode,PASS
107,ENCSR504NIU,Encode,PASS
108,ENCSR853WOM,Encode,PASS
109,ENCSR238ZZD,Encode,PASS
110,ENCSR678TMV,Encode,PASS
111,ENCSR434TEU,Encode,PASS
112,ENCSR812AKX,Encode,PASS
113,ENCSR270OKS,Encode,PASS
114,ENCSR671IYC,Encode,PASS
115,ENCSR460YCS,Encode,PASS
116,ENCSR330UMQ,Encode,PASS
117,ENCSR094GVZ,Encode,PASS
118,ENCSR000CUP_m,Encode,OMITTED1
119,ENCSR000CUP_f,Encode,OMITTED1
120,ENCSR236OON,Encode,PASS
121,ENCSR752UNJ,Encode,PASS
122,ENCSR750ETS,Encode,OMITTED1
123,ENCSR680AAZ,Encode,OMITTED3
124,ENCSR029KNZ,Encode,PASS
125,ENCSR708VVE,Encode,PASS
126,ENCSR532LJV,Encode,PASS
127,ENCSR701TST,Encode,PASS
128,ENCSR827IXS,Encode,PASS
129,ENCSR609NZM,Encode,PASS
130,ENCSR612HYR,Encode,OMITTED3
131,ENCSR321PGV,Encode,PASS
132,ENCSR448VSW,Encode,OMITTED3
133,ENCSR693GGB,Encode,PASS
134,ENCSR839ZDH,Encode,PASS
135,ENCSR857WJK,Encode,PASS
136,ENCSR586SYA,Encode,PASS
137,ENCSR635GTY,Encode,PASS
138,ENCSR085HNI,Encode,PASS
139,ENCSR406SAW,Encode,PASS
140,ENCSR801MKV,Encode,PASS
141,ENCSR754WLW,Encode,PASS
